127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000657
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001632
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000264
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000853
127.0.0.1, 2016-10-10 14:56:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2016-10-10 14:56:52, POST, /admin/default/index, HTTP/1.1, 200, 1.053369
127.0.0.1, 2016-10-10 14:56:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2016-10-10 14:56:57, POST, /admin/default/index, HTTP/1.1, 303, 0.030950
127.0.0.1, 2016-10-10 14:56:57, GET, /admin/default/site, HTTP/1.1, 200, 0.103407
127.0.0.1, 2016-10-10 14:56:57, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.002041
127.0.0.1, 2016-10-10 14:56:57, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001602
127.0.0.1, 2016-10-10 14:56:57, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000370
127.0.0.1, 2016-10-10 14:56:58, POST, /admin/default/check_version, HTTP/1.1, 200, 0.720009
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/default/index, HTTP/1.1, 200, 0.009937
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001763
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001105
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000760
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001119
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001762
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000904
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000526
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000223
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000220
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000230
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000223
127.0.0.1, 2016-10-10 14:57:01, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000237
127.0.0.1, 2016-10-10 14:57:02, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000305
127.0.0.1, 2016-10-10 14:57:07, GET, /admin/default/site, HTTP/1.1, 200, 0.032596
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.023021
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000355
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001857
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000549
